1;BOS;CLE;99;102; October 17, 2017
2;HOU;GSW;122;121; October 17, 2017
3;MIL;BOS;108;100;October 18, 2017
4;ATL;DAL;117;111;October 18, 2017
5;CHA;DET;90;102;October 18, 2017
6;BKN;IND;131;140;October 18, 2017
7;NOP;MEM;91;103;October 18, 2017
8;MIA;ORL;109;116;October 18, 2017
9;POR;PHX;124;76;October 18, 2017
10;HOU;SAC;105;100;October 18, 2017
11;MIN;SAS;99;107;October 18, 2017
12;DEN;UTA;96;106;October 18, 2017
13;PHI;WAS;115;120;October 18, 2017
14;LAC;LAL;108;92;October 19, 2017
15;NYK;OKC;84;105;October 19, 2017
16;CHI;TOR;100;117;October 19, 2017
17;ORL;BKN;121;126;October 20, 2017
18;ATL;CHA;91;109;October 20, 2017
19;SAC;DAL;93;88;October 20, 2017
20;POR;IND;114;96;October 20, 2017
21;CLE;MIL;116;97;October 20, 2017
22;UTA;MIN;97;100;October 20, 2017
23;GSW;NOP;128;120;October 20, 2017
24;BOS;PHI;102;92;October 20, 2017
25;LAL;PHX;132;130;October 20, 2017
26;DET;WAS;111;115;October 20, 2017
27;SAS;CHI;87;77;October 21, 2017
28;ORL;CLE;114;93;October 21, 2017
29;SAC;DEN;79;96;October 21, 2017
30;DAL;HOU;91;107;October 21, 2017
31;PHX;LAC;88;130;October 21, 2017
32;GSW;MEM;101;111;October 21, 2017
33;IND;MIA;108;112;October 21, 2017
34;POR;MIL;110;113;October 21, 2017
35;DET;NYK;111;107;October 21, 2017
36;PHI;TOR;94;128;October 21, 2017
37;OKC;UTA;87;96;October 21, 2017
38;ATL;BKN;104;116;October 22, 2017
39;NOP;LAL;119;112;October 22, 2017
40;MIN;OKC;115;113;October 22, 2017
41;GSW;DAL;133;103;October 23, 2017
42;WAS;DEN;109;104;October 23, 2017
43;PHI;DET;97;86;October 23, 2017
44;MEM;HOU;98;90;October 23, 2017
45;ATL;MIA;93;104;October 23, 2017
46;CHA;MIL;94;103;October 23, 2017
47;SAC;PHX;115;117;October 23, 2017
48;TOR;SAS;97;101;October 23, 2017
49;NYK;BOS;89;110; October 24, 2017
50;CHI;CLE;112;119; October 24, 2017
51;UTA;LAC;84;102; October 24, 2017
52;IND;MIN;130;107; October 24, 2017
53;BKN;ORL;121;125; October 24, 2017
54;NOP;POR;93;103; October 24, 2017
55;CLE;BKN;107;112;October 25, 2017
56;DEN;CHA;93;110;October 25, 2017
57;MEM;DAL;94;103;October 25, 2017
58;MIN;DET;101;122;October 25, 2017
59;TOR;GSW;112;117;October 25, 2017
60;WAS;LAL;99;102;October 25, 2017
61;SAS;MIA;117;100;October 25, 2017
62;IND;OKC;96;114;October 25, 2017
63;HOU;PHI;105;104;October 25, 2017
64;UTA;PHX;88;97;October 25, 2017
65;ATL;CHI;86;91;October 26, 2017
66;DAL;MEM;91;96;October 26, 2017
67;BOS;MIL;96;89;October 26, 2017
68;LAC;POR;104;103;October 26, 2017
69;NOP;SAC;114;106;October 26, 2017
70;DEN;ATL;105;100;October 27, 2017
71;HOU;CHA;109;93;October 27, 2017
72;WAS;GSW;117;120;October 27, 2017
73;TOR;LAL;101;92;October 27, 2017
