1;SAS;GSW;92;113; April 14, 2018;Oitavas;344
2;MIA;PHI;103;130; April 14, 2018;Oitavas;57
3;NOP;POR;97;95; April 14, 2018;Oitavas;408
4;WAS;TOR;106;114; April 14, 2018;Oitavas;6
5;MIL;BOS;107;113; April 15, 2018;Oitavas;122
6;IND;CLE;98;80; April 15, 2018;Oitavas;93
7;MIN;HOU;101;104; April 15, 2018;Oitavas;315
8;UTA;OKC;108;116; April 15, 2018;Oitavas;371
9;SAS;GSW;101;116; April 16, 2018;Oitavas;424
10;MIA;PHI;113;103; April 16, 2018;Oitavas;82
11;MIL;BOS;106;120; April 17, 2018;Oitavas;122
12;NOP;POR;111;102; April 17, 2018;Oitavas;412
13;WAS;TOR;119;130; April 17, 2018;Oitavas;7
14;IND;CLE;97;100; April 18, 2018;Oitavas;70
15;MIN;HOU;82;102; April 18, 2018;Oitavas;323
16;UTA;OKC;102;95; April 18, 2018;Oitavas;391
17;PHI;MIA;128;108; April 19, 2018;Oitavas;45
18;POR;NOP;102;119; April 19, 2018;Oitavas;418
19;GSW;SAS;110;97; April 19, 2018;Oitavas;335
20;CLE;IND;90;92; April 20, 2018;Oitavas;85
21;BOS;MIL;92;116; April 20, 2018;Oitavas;133
22;TOR;WAS;103;122; April 20, 2018;Oitavas;161
23;PHI;MIA;106;102; April 21, 2018;Oitavas;82
24;HOU;MIN;105;121; April 21, 2018;Oitavas;315
25;POR;NOP;123;131; April 21, 2018;Oitavas;408
26;OKC;UTA;102;115; April 21, 2018;Oitavas;396
27;CLE;IND;104;100; April 22, 2018;Oitavas;70
28;BOS;MIL;102;104; April 22, 2018;Oitavas;22
29;GSW;SAS;90;103; April 22, 2018;Oitavas;335
30;TOR;WAS;98;106; April 22, 2018;Oitavas;4
31;HOU;MIN;119;100; April 23, 2018;Oitavas;315
32;OKC;UTA;96;113; April 23, 2018;Oitavas;391
33;MIL;BOS;87;92; April 24, 2018;Oitavas;133
34;SAS;GSW;91;99; April 24, 2018;Oitavas;424
35;MIA;PHI;91;104; April 24, 2018;Oitavas;57
36;IND;CLE;95;98; April 25, 2018;Oitavas;70
37;MIN;HOU;104;122; April 25, 2018;Oitavas;315
38;UTA;OKC;99;107; April 25, 2018;Oitavas;379
39;WAS;TOR;98;108; April 25, 2018;Oitavas;4
40;BOS;MIL;86;97; April 26, 2018;Oitavas;122
41;CLE;IND;87;121; April 27, 2018;Oitavas;93
42;OKC;UTA;91;96; April 27, 2018;Oitavas;379
43;TOR;WAS;102;92; April 27, 2018;Oitavas;146
44;MIL;BOS;96;112; April 28, 2018;Oitavas;133
45;NOP;GSW;101;123; April 28, 2018;Quartas;344
46;IND;CLE;101;105; April 29, 2018;Oitavas;70
47;UTA;HOU;96;110; April 29, 2018;Quartas;315
48;PHI;BOS;101;117; April 30, 2018;Quartas;45
49;NOP;GSW;116;121; May 1, 2018;Quartas;335
50;CLE;TOR;113;112; May 1, 2018;Quartas;70
51;UTA;HOU;116;108; May 2, 2018;Quartas;315
52;PHI;BOS;103;108; May 3, 2018;Quartas;57
53;CLE;TOR;128;110; May 3, 2018;Quartas;70
54;GSW;NOP;100;119; May 4, 2018;Quartas;408
55;HOU;UTA;113;92; May 4, 2018;Quartas;315
56;TOR;CLE;103;105; May 5, 2018;Quartas;70
57;BOS;PHI;101;98; May 5, 2018;Quartas;36
58;GSW;NOP;118;92; May 6, 2018;Quartas;335
59;HOU;UTA;100;87; May 6, 2018;Quartas;323
60;TOR;CLE;93;128; May 7, 2018;Quartas;70
61;BOS;PHI;92;103; May 7, 2018;Quartas;58
62;NOP;GSW;104;113; May 8, 2018;Quartas;408
63;UTA;HOU;102;112; May 8, 2018;Quartas;323
64;PHI;BOS;112;114; May 9, 2018;Quartas;45
65;CLE;BOS;83;108; May 13, 2018;Semifinal;22
66;GSW;HOU;119;106; May 14, 2018;Semifinal;315
67;CLE;BOS;94;107; May 15, 2018;Semifinal;70
68;GSW;HOU;105;127; May 16, 2018;Semifinal;335
69;BOS;CLE;86;116; May 19, 2018;Semifinal;70
70;HOU;GSW;85;126; May 20, 2018;Semifinal;334
71;BOS;CLE;102;111; May 21, 2018;Semifinal;70
72;HOU;GSW;95;92; May 22, 2018;Semifinal;315
73;CLE;BOS;83;96; May 23, 2018;Semifinal;70
74;GSW;HOU;94;98; May 24, 2018;Semifinal;335
75;BOS;CLE;99;109; May 25, 2018;Semifinal;70
76;HOU;GSW;86;115; May 26, 2018;Semifinal;344
77;CLE;BOS;87;79; May 27, 2018;Semifinal;70
78;GSW;HOU;101;92; May 28, 2018;Semifinal;335
79;CLE;GSW;114;124; May 31, 2018;Final;70
80;CLE;GSW;103;122; June 3, 2018;Final;334
81;GSW;CLE;110;102; June 6, 2018;Final;335
82;GSW;CLE;108;85; June 8, 2018;Final;334
